Dataset: iris
Train Samples: 127
Test Samples:  23

=== MODO: NEUROEVOLUTION ===
Inputs: 4 | Outputs: 3
Hidden Layers: 1-4

=== Algoritmo Gen├®tico (Neuroevoluci├│n) Inicializado ===
Poblaci├│n: 50 individuos
Entradas: 4, Salidas: 3
Modo: Neuroevolucion
Capas ocultas: 1-4
Neuronas/capa: 4-64
Tasa mutaci├│n pesos: 0.1
Tasa mutaci├│n arquitectura: 0.05

Iniciando evoluci├│n...
Generaciones m├íximas: 100
Fitness objetivo: 1e+09

Gen 63 | Best: 96.0161 | Avg: 70.9424 | Arch: 4-43-3 | Params: 347
Gen 64 | Best: 96.0161 | Avg: 72.1722 | Arch: 4-43-3 | Params: 347
Gen 65 | Best: 96.0161 | Avg: 72.0114 | Arch: 4-43-3 | Params: 347
Gen 66 | Best: 96.0161 | Avg: 65.7944 | Arch: 4-43-3 | Params: 347
Gen 67 | Best: 96.0161 | Avg: 71.9834 | Arch: 4-43-3 | Params: 347
Gen 68 | Best: 96.0161 | Avg: 69.937 | Arch: 4-43-3 | Params: 347
Gen 69 | Best: 96.0161 | Avg: 67.37 | Arch: 4-43-3 | Params: 347
Gen 70 | Best: 96.0161 | Avg: 73.8179 | Arch: 4-43-3 | Params: 347
Gen 71 | Best: 96.1994 | Avg: 75.4049 | Arch: 4-43-3 | Params: 347
Gen 72 | Best: 96.2457 | Avg: 71.179 | Arch: 4-43-3 | Params: 347
Gen 73 | Best: 96.2457 | Avg: 72.9476 | Arch: 4-43-3 | Params: 347
Gen 74 | Best: 96.2457 | Avg: 71.7957 | Arch: 4-43-3 | Params: 347
Gen 75 | Best: 96.2457 | Avg: 70.0656 | Arch: 4-43-3 | Params: 347
Gen 76 | Best: 96.2457 | Avg: 66.0843 | Arch: 4-43-3 | Params: 347
Gen 77 | Best: 96.2457 | Avg: 68.9463 | Arch: 4-43-3 | Params: 347
Gen 78 | Best: 96.4119 | Avg: 67.1539 | Arch: 4-43-3 | Params: 347
Gen 79 | Best: 96.4119 | Avg: 73.0538 | Arch: 4-43-3 | Params: 347
Gen 80 | Best: 96.4119 | Avg: 69.8738 | Arch: 4-43-3 | Params: 347
Gen 81 | Best: 96.4119 | Avg: 73.1904 | Arch: 4-43-3 | Params: 347
Gen 82 | Best: 96.4119 | Avg: 67.0084 | Arch: 4-43-3 | Params: 347
Gen 83 | Best: 96.4119 | Avg: 71.147 | Arch: 4-43-3 | Params: 347
Gen 84 | Best: 96.4119 | Avg: 71.5236 | Arch: 4-43-3 | Params: 347
Gen 85 | Best: 96.4267 | Avg: 73.8228 | Arch: 4-43-3 | Params: 347
Gen 86 | Best: 96.4267 | Avg: 67.2939 | Arch: 4-43-3 | Params: 347
Gen 87 | Best: 96.4267 | Avg: 72.9536 | Arch: 4-43-3 | Params: 347
Gen 88 | Best: 96.4267 | Avg: 67.2435 | Arch: 4-43-3 | Params: 347
Gen 89 | Best: 96.4267 | Avg: 74.048 | Arch: 4-43-3 | Params: 347
Gen 90 | Best: 96.4267 | Avg: 74.8588 | Arch: 4-43-3 | Params: 347
Gen 91 | Best: 96.4267 | Avg: 72.931 | Arch: 4-43-3 | Params: 347
Gen 92 | Best: 96.4267 | Avg: 71.9944 | Arch: 4-43-3 | Params: 347
Gen 93 | Best: 96.4267 | Avg: 75.9339 | Arch: 4-43-3 | Params: 347
Gen 94 | Best: 96.4267 | Avg: 74.8365 | Arch: 4-43-3 | Params: 347
Gen 95 | Best: 96.4267 | Avg: 70.0517 | Arch: 4-43-3 | Params: 347
Gen 96 | Best: 96.4267 | Avg: 73.1026 | Arch: 4-43-3 | Params: 347
Gen 97 | Best: 96.6545 | Avg: 69.9228 | Arch: 4-43-3 | Params: 347
Gen 98 | Best: 96.6545 | Avg: 72.9399 | Arch: 4-43-3 | Params: 347
Gen 99 | Best: 96.6545 | Avg: 72.4583 | Arch: 4-43-3 | Params: 347

========================================
RESULTADOS FINALES
========================================
Mejor arquitectura: 4-43-3
Fitness: 96.6545
Accuracy Train: 97.6378%
Accuracy Test:  95.6522%
