Dataset: wine
Train Samples: 1358
Test Samples:  241

=== MODO: NEUROEVOLUTION ===
Inputs: 11 | Outputs: 1
Hidden Layers: 1-4

=== Algoritmo Gen├®tico (Neuroevoluci├│n) Inicializado ===
Poblaci├│n: 50 individuos
Entradas: 11, Salidas: 1
Modo: Neuroevolucion
Capas ocultas: 1-4
Neuronas/capa: 4-64
Tasa mutaci├│n pesos: 0.1
Tasa mutaci├│n arquitectura: 0.05

Iniciando evoluci├│n...
Generaciones m├íximas: 100
Fitness objetivo: 1e+09

Gen 64 | Best: 74.7356 | Avg: 72.6108 | Arch: 11-8-1 | Params: 105
Gen 65 | Best: 74.7356 | Avg: 73.4118 | Arch: 11-8-1 | Params: 105
Gen 66 | Best: 74.7356 | Avg: 72.8051 | Arch: 11-8-1 | Params: 105
Gen 67 | Best: 74.7356 | Avg: 72.1912 | Arch: 11-8-1 | Params: 105
Gen 68 | Best: 74.7356 | Avg: 72.8808 | Arch: 11-8-1 | Params: 105
Gen 69 | Best: 74.7356 | Avg: 73.6993 | Arch: 11-8-1 | Params: 105
Gen 70 | Best: 74.7356 | Avg: 73.0178 | Arch: 11-8-1 | Params: 105
Gen 71 | Best: 74.7356 | Avg: 72.6075 | Arch: 11-8-1 | Params: 105
Gen 72 | Best: 74.7356 | Avg: 72.3167 | Arch: 11-8-1 | Params: 105
Gen 73 | Best: 74.7356 | Avg: 71.7954 | Arch: 11-8-1 | Params: 105
Gen 74 | Best: 74.7356 | Avg: 72.8234 | Arch: 11-8-1 | Params: 105
Gen 75 | Best: 74.7356 | Avg: 72.7875 | Arch: 11-8-1 | Params: 105
Gen 76 | Best: 74.7356 | Avg: 71.7645 | Arch: 11-8-1 | Params: 105
Gen 77 | Best: 74.7356 | Avg: 73.4724 | Arch: 11-8-1 | Params: 105
Gen 78 | Best: 74.7356 | Avg: 73.4716 | Arch: 11-8-1 | Params: 105
Gen 79 | Best: 74.7356 | Avg: 72.9358 | Arch: 11-8-1 | Params: 105
Gen 80 | Best: 74.7356 | Avg: 73.2072 | Arch: 11-8-1 | Params: 105
Gen 81 | Best: 74.7356 | Avg: 71.559 | Arch: 11-8-1 | Params: 105
Gen 82 | Best: 74.7356 | Avg: 72.9675 | Arch: 11-8-1 | Params: 105
Gen 83 | Best: 74.7356 | Avg: 73.3978 | Arch: 11-8-1 | Params: 105
Gen 84 | Best: 74.7356 | Avg: 73.4345 | Arch: 11-8-1 | Params: 105
Gen 85 | Best: 74.7356 | Avg: 73.0265 | Arch: 11-8-1 | Params: 105
Gen 86 | Best: 74.7356 | Avg: 73.578 | Arch: 11-8-1 | Params: 105
Gen 87 | Best: 74.7356 | Avg: 72.6127 | Arch: 11-8-1 | Params: 105
Gen 88 | Best: 74.7356 | Avg: 73.3178 | Arch: 11-8-1 | Params: 105
Gen 89 | Best: 74.7356 | Avg: 72.8074 | Arch: 11-8-1 | Params: 105
Gen 90 | Best: 74.8109 | Avg: 72.7526 | Arch: 11-8-1 | Params: 105
Gen 91 | Best: 74.8109 | Avg: 73.193 | Arch: 11-8-1 | Params: 105
Gen 92 | Best: 74.8395 | Avg: 72.9647 | Arch: 11-8-1 | Params: 105
Gen 93 | Best: 74.8395 | Avg: 72.6315 | Arch: 11-8-1 | Params: 105
Gen 94 | Best: 74.8395 | Avg: 73.3228 | Arch: 11-8-1 | Params: 105
