Dataset: iris
Train Samples: 127
Test Samples:  23

=== MODO: WEIGHTS EVOLUTION ===
Arquitectura: 4-10-3


=== Algoritmo Gen├®tico Inicializado ===
Poblaci├│n: 50 individuos
Arquitectura fija: 4 10 3
Modo: Evoluci├│n de PESOS
Tasa de mutaci├│n: 0.1
├ëlite: 10%

Iniciando evoluci├│n...
Generaciones m├íximas: 100
Fitness objetivo: 1e+09

Gen 88 | Best: 97.8793 | Avg: 69.1497 | Params: 83
Gen 89 | Best: 97.8793 | Avg: 71.0011 | Params: 83
Gen 90 | Best: 97.8793 | Avg: 67.517 | Params: 83
Gen 91 | Best: 97.8793 | Avg: 70.9 | Params: 83
Gen 92 | Best: 97.8793 | Avg: 72.4041 | Params: 83
Gen 93 | Best: 97.8793 | Avg: 69.4535 | Params: 83
Gen 94 | Best: 97.8793 | Avg: 66.856 | Params: 83
Gen 95 | Best: 97.8793 | Avg: 69.2982 | Params: 83
Gen 96 | Best: 97.8793 | Avg: 73.3334 | Params: 83
Gen 97 | Best: 97.8793 | Avg: 68.1301 | Params: 83
Gen 98 | Best: 97.8866 | Avg: 71.0334 | Params: 83
Gen 99 | Best: 97.8866 | Avg: 69.097 | Params: 83

========================================
RESULTADOS FINALES
========================================
Mejor arquitectura: 4-10-3
Fitness: 97.8866
Accuracy Train: 99.2126%
Accuracy Test:  95.6522%
