Dataset: wine
Train Samples: 1358
Test Samples:  241

=== MODO: WEIGHTS EVOLUTION ===
Arquitectura: 11-10-1


=== Algoritmo Gen├®tico Inicializado ===
Poblaci├│n: 50 individuos
Arquitectura fija: 11 10 1
Modo: Evoluci├│n de PESOS
Tasa de mutaci├│n: 0.1
├ëlite: 10%

Iniciando evoluci├│n...
Generaciones m├íximas: 100
Fitness objetivo: 1e+09

Gen 89 | Best: 75.557 | Avg: 72.2795 | Params: 131
Gen 90 | Best: 75.557 | Avg: 72.492 | Params: 131
Gen 91 | Best: 75.557 | Avg: 72.2733 | Params: 131
Gen 92 | Best: 75.5823 | Avg: 71.9608 | Params: 131
Gen 93 | Best: 75.8229 | Avg: 72.9882 | Params: 131
Gen 94 | Best: 75.8229 | Avg: 73.2524 | Params: 131
Gen 95 | Best: 75.8229 | Avg: 72.717 | Params: 131
Gen 96 | Best: 75.8229 | Avg: 72.2488 | Params: 131
Gen 97 | Best: 75.8229 | Avg: 72.0804 | Params: 131
Gen 98 | Best: 75.8229 | Avg: 72.5649 | Params: 131
Gen 99 | Best: 75.8229 | Avg: 72.2066 | Params: 131

========================================
RESULTADOS FINALES
========================================
Mejor arquitectura: 11-10-1
Fitness: 75.8229
Accuracy Train: 77.1723%
Accuracy Test:  73.8589%
