Dataset: cancer
Train Samples: 483
Test Samples:  86

=== MODO: WEIGHTS EVOLUTION ===
Arquitectura: 30-10-1


=== Algoritmo Gen├®tico Inicializado ===
Poblaci├│n: 50 individuos
Arquitectura fija: 30 10 1
Modo: Evoluci├│n de PESOS
Tasa de mutaci├│n: 0.1
├ëlite: 10%

Iniciando evoluci├│n...
Generaciones m├íximas: 100
Fitness objetivo: 1e+09

Gen 88 | Best: 96.8666 | Avg: 91.193 | Params: 321
Gen 89 | Best: 96.8666 | Avg: 92.0744 | Params: 321
Gen 90 | Best: 96.8666 | Avg: 92.1977 | Params: 321
Gen 91 | Best: 96.8666 | Avg: 91.6847 | Params: 321
Gen 92 | Best: 96.8666 | Avg: 91.0208 | Params: 321
Gen 93 | Best: 96.8666 | Avg: 91.411 | Params: 321
Gen 94 | Best: 96.8666 | Avg: 90.4572 | Params: 321
Gen 95 | Best: 96.8666 | Avg: 92.0323 | Params: 321
Gen 96 | Best: 97.0421 | Avg: 91.5059 | Params: 321
Gen 97 | Best: 97.0421 | Avg: 90.3525 | Params: 321
Gen 98 | Best: 97.0421 | Avg: 93.9808 | Params: 321
Gen 99 | Best: 97.0421 | Avg: 90.7481 | Params: 321

========================================
RESULTADOS FINALES
========================================
Mejor arquitectura: 30-10-1
Fitness: 97.0421
Accuracy Train: 98.1366%
Accuracy Test:  91.8605%
